birth_year,first_name,count
1900,ABEL,51
1900,ABRAHAM,2
1900,ACHILLE,18
1900,ACHILLES,1
1900,ADAM,1
1900,ADELAIDE,21
1900,ADELHEID,1
1900,ADELINA,6
1900,ADELINE,25
1900,ADOLPHE,56
1900,ADOLPHINE,7
1900,ADONIS,1
1900,ADRIEN,82
1900,ADRIENNE,79
1900,ADÈLE,66
1900,AGATHE,13
1900,AGLAE,2
1900,AGNÈS,42
1900,AIDA,1
1900,AIMABLE,3
1900,AIME,64
1900,AIMÉE,57
1900,ALAIN,6
1900,ALBAN,10
1900,ALBANIE,7
1900,ALBERIC,1
1900,ALBERT,93
1900,ALBERTA,1
1900,ALBERTE,2
1900,ALBERTINE,63
1900,ALBIN,4
1900,ALBINE,2
1900,ALCIDE,16
1900,ALEX,1
1900,ALEXANDRE,81
1900,ALEXANDRINE,51
1900,ALEXIA,1
1900,ALEXINA,1
1900,ALEXINE,2
1900,ALEXIS,41
1900,ALFRED,87
1900,ALFREDA,3
1900,ALFREDINE,4
1900,ALICE,90
1900,ALIDA,8
1900,ALINE,59
1900,ALIX,14
1900,ALIXE,2
1900,ALLAIN,1
1900,ALLIETTE,1
1900,ALMIRE,2
1900,ALOIS,1
1900,ALOISE,2
1900,ALOYSE,3
1900,ALPHENA,1
1900,ALPHONSE,86
1900,ALPHONSINE,62
1900,ALZIRE,1
1900,AMALIE,3
1900,AMAND,10
1900,AMANDA,3
1900,AMANDINE,2
1900,AMANS,1
1900,AMBROISE,11
1900,AMBROISINE,8
1900,AMEDE,2
1900,AMEDEE,32
1900,AMÉLIA,3
1900,AMÉLIE,78
1900,ANAISE,3
1900,ANASTASE,1
1900,ANASTASIE,13
1900,ANASTHASE,1
1900,ANATOLE,9
1900,ANAÏS,34
1900,ANDREANNE,1
1900,ANDRÉ,94
1900,ANDRÉA,40
1900,ANDRÉE,72
1900,ANGE,11
1900,ANGEL,2
1900,ANGELA,3
1900,ANGELIN,1
1900,ANGELINA,16
1900,ANGELINE,28
1900,ANGELIQUE,12
1900,ANGELY,1
1900,ANGÈLE,90
1900,ANICET,2
1900,ANITA,1
1900,ANNA,77
1900,ANNE,87
1900,ANNE-MARIE,12
1900,ANNET,1
1900,ANNETTE,15
1900,ANNITA,1
1900,ANNONCIA,1
1900,ANNONCIADE,2
1900,ANSELME,3
1900,ANTHELME,2
1900,ANTHELMETTE,1
1900,ANTHELMINE,2
1900,ANTHIME,1
1900,ANTOINE,78
1900,ANTOINETTE,89
1900,ANTOINISE,1
1900,ANTONIA,22
1900,ANTONIE,4
1900,ANTONIN,34
1900,ANTONINE,11
1900,ANTONY,2
1900,APOLLINAIRE,1
1900,APOLLINE,3
1900,APOLLONIE,2
1900,APPOLINAIRE,1
1900,APPOLINE,3
1900,APPOLONIE,3
1900,ARGENTINE,6
1900,ARISTE,1
1900,ARISTIDE,24
1900,ARLETTE,1
1900,ARMANCE,3
1900,ARMAND,79
1900,ARMANDE,22
1900,ARMANDINE,16
1900,ARMANTINE,6
1900,ARMEL,1
